id_region,id_batiment,date_rapport,emission_CO2_kg,taux_recyclage
REG02,BAT031,2025-01-01,2425,0.84
REG02,BAT038,2025-01-01,1937,0.42
REG02,BAT032,2025-01-01,969,0.84
REG02,BAT018,2025/01/02,1982,0.35
REG02,BAT018,2025-01-02,848,
REG02,BAT003,2025-01-02,1967,0.28
REG02,BAT037,2025-01-03,1724,1.51
REG02,BAT038,2025-01-03,1045,0.86
REG02,BAT036,2025-01-03,1918,0.3
REG02,BAT032,2025-01-04,1992,0.87
REG02,BAT032,2025-01-05,1237,0.24
REG02,BAT031,2025-01-06,1379,0.43
REG02,BAT004,2025-01-06,2267,0.46
REG02,BAT032,2025-01-08,1939,0.13
REG02,BAT036,2025-01-09,1121,0.84
REG02,BAT010,2025-01-09,2703,0.41
REG02,BAT032,2025-01-09,1826,0.87
REG02,BAT030,2025-01-09,2030,0.4
REG02,BAT004,2025-01-09,850,0.74
REG02,BAT030,2025-01-10,288,0.92
REG02,BAT003,2025-01-11,2388,0.88
REG02,BAT003,2025-01-11,1308,0.61
REG02,BAT030,2025-01-11,2699,0.29
REG02,BAT016,2025-01-12,734,0.9
REG02,BAT010,2025-01-12,2696,0.4
REG02,BAT018,2025-01-12,298,0.43
REG02,BAT004,2025-01-12,1730,0.26
REG02,BAT003,2025-01-13,1631,0.45
REG02,BAT027,2025-01-14,2326,1.33
REG02,BAT031,2025-01-14,2431,0.41
REG02,BAT037,2025-01-14,1740,0.56
REG02,BAT037,2025-01-15,2135,0.12
REG02,BAT037,2025-01-16,1965,0.44
REG02,BAT032,2025-01-17,2857,0.62
REG02,BAT027,2025-01-17,798,0.37
REG02,BAT018,2025-01-18,1581,0.68
REG02,BAT003,2025-01-18,2488,0.29
REG02,BAT031,2025-01-18,1950,0.69
REG02,BAT019,2025-01-19,1937,0.59
REG02,BAT027,2025-01-19,1626,0.34
REG02,BAT004,2025-01-19,2397,0.45
REG02,BAT010,2025-01-19,1491,0.11
REG02,BAT027,2025-01-20,,0.68
REG02,BAT032,2025-01-21,2777,0.3
REG02,BAT004,2025-01-21,627,0.18
REG02,BAT010,2025-01-22,908,0.2
REG02,BAT019,2025-01-22,2560,0.18
REG02,BAT038,2025-01-22,797,0.21
REG02,BAT038,2025-01-23,,0.8
REG02,BAT030,2025-01-24,1636,0.47
REG02,BAT016,2025-01-24,1177,0.62
REG02,BAT031,2025-01-24,1789,0.32
REG02,BAT030,2025-01-25,1664,0.44
REG02,BAT016,2025-01-26,2012,0.73
REG02,BAT031,2025-01-26,2286,0.9
REG02,BAT038,2025-01-26,2487,
REG02,BAT019,2025-01-27,2006,
REG02,BAT030,2025-01-27,1440,0.69
REG02,BAT010,2025-01-28,1116,0.18
REG02,BAT031,2025-01-28,968,0.72
REG02,BAT004,2025-01-29,663,0.33
REG02,BAT038,2025-01-29,1370,0.26
REG02,BAT018,2025-01-29,169,
REG02,BAT030,2025-01-29,1718,0.2
REG02,BAT038,2025-01-30,2756,0.24
REG02,BAT027,2025-01-30,2499,0.65
REG02,BAT027,2025-01-30,1148,0.76
REG02,BAT037,2025-01-30,,0.73
REG02,BAT018,2025-01-31,1618,0.3
REG02,BAT027,2025-01-31,2482,0.15
REG02,BAT037,2025-02-01,2121,2.33
REG02,BAT037,2025-02-02,124,0.78
REG02,BAT038,2025-02-02,1661,0.72
REG02,BAT018,2025-02-03,2106,0.59
REG02,BAT004,2025-02-03,354,0.84
REG02,BAT030,2025-02-04,922,0.64
REG02,BAT018,2025-02-04,928,0.85
REG02,BAT037,2025-02-06,2634,0.19
REG02,BAT037,2025-02-06,2441,0.92
REG02,BAT016,2025-02-07,442,0.41
REG02,BAT027,2025-02-08,1812,0.81
REG02,BAT004,2025-02-09,1195,0.65
REG02,BAT030,2025-02-09,1937,0.44
REG02,BAT031,2025-02-09,2445,0.58
REG02,BAT032,2025-02-11,2474,0.81
REG02,BAT027,2025-02-12,918,0.66
REG02,BAT027,2025-02-12,1851,0.76
REG02,BAT032,2025-02-13,443,0.36
REG02,BAT010,2025-02-13,468,
REG02,BAT019,2025-02-13,1977,0.51
REG02,BAT032,2025-02-14,841,0.75
REG02,BAT018,2025-02-14,2736,0.27
REG02,BAT031,2025-02-14,273,
REG02,BAT036,2025-02-14,636,0.18
REG02,BAT031,2025-02-15,2514,0.8
REG02,BAT032,2025-02-16,2890,0.26
REG02,BAT016,2025-02-16,611,0.5
REG02,BAT003,2025-02-16,1208,0.76
REG02,BAT030,2025-02-16,,0.95
REG02,BAT030,2025-02-17,897,0.85
REG02,BAT032,2025-02-18,567,0.23
REG02,BAT019,2025-02-18,1575,0.84
REG02,BAT016,2025-02-19,2555,0.11
REG02,BAT016,2025-02-19,2968,0.59
REG02,BAT036,2025-02-19,,0.5
REG02,BAT036,2025-02-19,336,0.12
REG02,BAT031,2025-02-20,681,0.46
REG02,BAT004,2025-02-20,452,0.83
REG02,BAT004,2025-02-20,803,0.25
REG02,BAT036,2025-02-20,,0.81
REG02,BAT037,2025-02-21,2791,0.56
REG02,BAT032,2025-02-21,1765,
REG02,BAT016,2025-02-23,1649,0.41
REG02,BAT004,2025-02-23,2511,0.85
REG02,BAT018,2025-02-23,2166,1.88
REG02,BAT037,2025-02-24,1634,0.59
REG02,BAT027,2025-02-25,1990,0.7
REG02,BAT032,2025-02-25,2310,0.24
REG02,BAT031,2025-02-27,2333,0.39
REG02,BAT016,2025-02-28,2832,0.32
REG02,BAT036,2025-03-01,2627,0.91
REG02,BAT003,01.03.2025,1779,0.39
REG02,BAT038,2025-03-01,2852,2.18
REG02,BAT027,2025-03-01,1728,0.38
REG02,BAT031,2025-03-01,1143,0.64
REG02,BAT027,2025-03-02,1298,0.51
REG02,BAT018,2025-03-02,977,0.52
REG02,BAT036,2025-03-02,1798,
REG02,BAT018,2025-03-02,2748,0.86
REG02,BAT019,2025-03-02,,0.16
REG02,BAT027,2025-03-02,2807,0.91
REG02,BAT003,2025-03-03,1315,0.48
REG02,BAT030,2025-03-04,1842,0.44
REG02,BAT018,2025-03-04,566,0.43
REG02,BAT010,2025-03-05,191,0.15
REG02,BAT030,2025-03-06,1174,0.63
REG02,BAT010,2025-03-06,2076,0.31
REG02,BAT019,03/06/2025,119,0.23
REG02,BAT031,2025-03-06,564,0.9
REG02,BAT037,2025-03-07,522,0.24
REG02,BAT032,2025-03-07,526,0.79
REG02,BAT030,2025-03-07,1741,0.87
REG02,BAT003,2025-03-08,396,0.4
REG02,BAT016,2025-03-09,2361,0.31
REG02,BAT016,2025-03-12,1685,0.41
REG02,BAT003,2025-03-12,1952,0.28
REG02,BAT019,2025-03-14,1351,0.66
REG02,BAT027,2025-03-14,394,0.56
REG02,BAT003,2025-03-15,753,0.41
REG02,BAT032,2025-03-16,2603,0.11
REG02,BAT019,2025-03-17,1394,0.87
REG02,BAT037,2025-03-17,466,0.26
REG02,BAT037,2025-03-17,1478,0.67
REG02,BAT027,2025-03-17,569,0.83
REG02,BAT004,2025-03-18,1281,0.29
REG02,BAT004,"Mar 18, 2025",2085,0.17
REG02,BAT032,03/18/2025,2214,0.37
REG02,BAT038,2025-03-19,2719,0.72
REG02,BAT019,2025-03-19,2949,0.7
REG02,BAT037,2025-03-19,349,0.55
REG02,BAT032,2025-03-19,1948,0.29
REG02,BAT027,2025-03-20,711,0.68
REG02,BAT010,2025-03-20,692,0.25
REG02,BAT031,2025-03-20,702,0.16
REG02,BAT003,2025-03-21,1183,0.66
REG02,BAT032,2025-03-21,1605,0.81
REG02,BAT027,2025-03-21,2703,0.8
REG02,BAT019,2025-03-22,2542,
REG02,BAT038,2025-03-22,2271,0.56
REG02,BAT032,2025-03-22,610,0.36
REG02,BAT036,2025-03-23,,0.25
REG02,BAT030,2025-03-23,1672,0.93
REG02,BAT019,2025-03-23,979,0.41
REG02,BAT036,2025-03-23,1901,0.18
REG02,BAT004,2025-03-24,669,0.85
REG02,BAT018,2025-03-24,2964,
REG02,BAT003,2025-03-24,1251,0.88
REG02,BAT010,2025-03-24,2455,0.65
REG02,BAT004,2025-03-24,569,0.34
REG02,BAT036,2025-03-24,879,0.83
REG02,BAT032,2025-03-25,,0.59
REG02,BAT010,2025-03-25,974,0.43
REG02,BAT032,2025-03-25,2585,0.14
REG02,BAT004,2025-03-25,2351,0.7
REG02,BAT036,2025-03-25,1267,0.19
REG02,BAT037,2025-03-25,1812,0.32
REG02,BAT031,2025-03-27,1099,0.76
REG02,BAT032,2025-03-27,1456,0.36
REG02,BAT031,2025-03-27,,0.19
REG02,BAT004,2025-03-27,2463,0.65
REG02,BAT003,2025-03-27,1062,0.74
REG02,BAT003,2025-03-28,362,0.24
REG02,BAT027,2025-03-29,1293,0.82
REG02,BAT004,2025-03-30,679,0.43
REG02,BAT004,2025-03-30,2588,0.4
REG02,BAT027,2025-03-30,1642,0.25
REG02,BAT032,2025-03-31,2045,0.77
REG02,BAT004,2025-03-31,2833,0.66
REG02,BAT010,2025-03-31,1294,0.95
REG02,BAT038,2025-03-31,842,0.57
