id_region,id_batiment,date_rapport,emission_CO2_kg,taux_recyclage
REG06,BAT031,2025-01-01,889,0.79
REG06,BAT024,2025-01-01,2305,0.88
REG06,BAT034,2025-01-01,2989,0.85
REG06,BAT034,2025-01-01,2065,0.27
REG06,BAT012,2025-01-02,1114,0.16
REG06,BAT031,2025-01-02,345,0.92
REG06,BAT024,2025-01-02,2203,0.68
REG06,BAT014,2025-01-03,1462,0.31
REG06,BAT026,2025-01-03,1583,0.64
REG06,BAT026,2025-01-04,,0.31
REG06,BAT028,2025-01-06,1196,0.34
REG06,BAT026,2025-01-06,1117,0.11
REG06,BAT011,01/08/2025,599,0.93
REG06,BAT024,2025-01-08,342,1.53
REG06,BAT028,2025-01-08,910,0.34
REG06,BAT014,2025-01-08,310,0.72
REG06,BAT016,2025-01-08,1494,0.25
REG06,BAT018,2025-01-09,1862,0.8
REG06,BAT018,2025-01-09,1561,0.89
REG06,BAT021,2025-01-09,,0.84
REG06,BAT036,2025-01-10,1307,0.79
REG06,BAT012,2025-01-10,2159,0.62
REG06,BAT018,2025-01-10,652,
REG06,BAT034,2025-01-11,1614,0.38
REG06,BAT012,2025-01-11,1251,0.88
REG06,BAT018,2025-01-12,2175,0.11
REG06,BAT022,2025-01-12,1661,0.86
REG06,BAT024,2025-01-13,1053,0.69
REG06,BAT026,2025-01-13,2890,0.77
REG06,BAT022,2025-01-13,328,0.16
REG06,BAT021,2025-01-13,,0.7
REG06,BAT016,2025-01-14,1345,0.3
REG06,BAT024,2025-01-14,2350,0.75
REG06,BAT018,2025-01-14,2028,0.88
REG06,BAT021,2025-01-15,1150,0.34
REG06,BAT028,2025-01-15,1196,0.53
REG06,BAT016,2025-01-15,2017,0.35
REG06,BAT024,"Jan 16, 2025",1904,0.18
REG06,BAT018,2025-01-16,2311,0.92
REG06,BAT018,2025-01-18,2049,0.75
REG06,BAT034,2025-01-18,2412,0.72
REG06,BAT018,2025-01-19,1335,0.9
REG06,BAT021,2025-01-20,1277,0.94
REG06,BAT026,2025-01-21,236,0.17
REG06,BAT024,2025-01-21,2243,0.48
REG06,BAT028,2025-01-21,2027,0.95
REG06,BAT028,2025-01-23,1292,0.64
REG06,BAT024,2025-01-24,2262,0.56
REG06,BAT026,2025-01-24,1670,0.25
REG06,BAT016,2025-01-25,733,0.26
REG06,BAT026,2025-01-25,1420,0.29
REG06,BAT021,2025-01-25,2845,0.19
REG06,BAT040,2025-01-26,1427,0.62
REG06,BAT024,2025-01-26,969,0.65
REG06,BAT031,2025-01-26,2699,0.75
REG06,BAT036,2025-01-26,397,0.48
REG06,BAT012,2025-01-26,2238,0.7
REG06,BAT016,2025-01-28,2948,0.3
REG06,BAT040,2025-01-28,1562,0.77
REG06,BAT026,2025-01-29,2140,
REG06,BAT014,2025-01-29,790,0.43
REG06,BAT034,2025-01-29,2467,0.94
REG06,BAT026,2025-01-30,1600,0.49
REG06,BAT018,2025-01-31,1386,0.19
REG06,BAT016,2025-01-31,768,0.41
REG06,BAT024,2025-01-31,1784,0.64
REG06,BAT028,2025-01-31,1243,
REG06,BAT026,2025-02-01,680,0.44
REG06,BAT026,01-02-2025,1194,0.56
REG06,BAT016,2025-02-01,1248,0.57
REG06,BAT016,2025-02-01,2981,0.59
REG06,BAT014,2025-02-02,2738,0.58
REG06,BAT014,2025-02-02,1814,0.67
REG06,BAT014,2025-02-02,1055,1.14
REG06,BAT011,2025-02-03,1990,0.28
REG06,BAT024,2025-02-04,1854,0.19
REG06,BAT016,2025-02-04,1010,1.19
REG06,BAT022,2025-02-04,2875,
REG06,BAT014,2025-02-04,709,0.22
REG06,BAT014,2025-02-05,2778,0.78
REG06,BAT028,2025-02-06,2833,0.28
REG06,BAT016,2025-02-07,1239,
REG06,BAT018,08.02.2025,796,0.36
REG06,BAT031,2025-02-09,522,0.12
REG06,BAT031,2025-02-09,1638,0.31
REG06,BAT028,2025-02-10,,0.15
REG06,BAT040,2025-02-10,910,0.43
REG06,BAT016,2025-02-10,2610,0.32
REG06,BAT031,2025-02-10,,0.9
REG06,BAT034,2025-02-10,2732,0.86
REG06,BAT024,2025-02-11,2219,0.83
REG06,BAT036,2025-02-11,2928,0.76
REG06,BAT036,2025-02-11,2277,0.84
REG06,BAT018,2025-02-11,1154,0.67
REG06,BAT024,2025-02-11,1304,0.62
REG06,BAT034,2025-02-13,1253,0.92
REG06,BAT012,2025-02-13,2059,0.71
REG06,BAT011,2025-02-13,2342,0.37
REG06,BAT022,2025-02-14,,0.33
REG06,BAT026,2025-02-14,1481,0.28
REG06,BAT014,2025-02-15,1833,0.82
REG06,BAT040,2025-02-15,1098,
REG06,BAT024,2025-02-16,885,0.57
REG06,BAT028,2025-02-16,1977,0.38
REG06,BAT012,2025-02-16,2800,0.32
REG06,BAT040,2025-02-16,457,0.35
REG06,BAT034,2025-02-16,2316,0.58
REG06,BAT018,2025-02-16,1679,0.32
REG06,BAT028,2025-02-17,2011,0.6
REG06,BAT016,2025-02-17,2892,0.29
REG06,BAT036,2025-02-17,1786,
REG06,BAT040,2025-02-18,1093,0.55
REG06,BAT014,2025-02-18,2895,0.62
REG06,BAT028,2025-02-18,,0.91
REG06,BAT026,2025-02-18,2796,0.44
REG06,BAT024,2025-02-18,1439,0.59
REG06,BAT024,2025-02-19,2267,0.4
REG06,BAT024,2025-02-19,581,0.8
REG06,BAT026,2025-02-20,2938,0.71
REG06,BAT024,2025-02-21,1000,
REG06,BAT016,2025-02-21,1258,0.28
REG06,BAT014,2025-02-21,241,0.34
REG06,BAT016,2025-02-23,2817,0.41
REG06,BAT022,2025-02-23,616,0.47
REG06,BAT014,2025-02-27,2495,0.57
REG06,BAT036,2025-02-27,2511,0.72
REG06,BAT024,2025-02-27,190,0.84
REG06,BAT011,2025-02-28,2677,0.42
