id_region,id_batiment,date_rapport,emission_CO2_kg,taux_recyclage
REG04,BAT039,2025-01-01,889,0.54
REG04,BAT019,2025-01-01,1539,0.87
REG04,BAT013,2025-01-01,830,0.24
REG04,BAT032,2025-01-03,148,0.19
REG04,BAT024,2025-01-04,1413,
REG04,BAT038,2025-01-04,381,0.81
REG04,BAT025,2025-01-06,279,0.62
REG04,BAT024,2025-01-06,2066,0.45
REG04,BAT032,2025-01-06,2467,
REG04,BAT008,2025-01-08,1652,0.25
REG04,BAT039,2025-01-08,1537,0.68
REG04,BAT007,2025-01-08,2075,0.12
REG04,BAT025,2025-01-08,349,0.29
REG04,BAT018,2025-01-08,329,0.4
REG04,BAT032,2025-01-09,483,0.69
REG04,BAT025,2025-01-09,,0.71
REG04,BAT035,2025-01-09,2542,0.91
REG04,BAT008,2025-01-10,387,0.85
REG04,BAT039,2025-01-10,2906,0.14
REG04,BAT008,2025-01-10,2625,0.28
REG04,BAT032,2025-01-11,351,0.49
REG04,BAT035,2025-01-12,258,0.22
REG04,BAT038,2025-01-12,2335,0.12
REG04,BAT039,2025-01-12,1240,0.35
REG04,BAT032,2025-01-12,2162,0.11
REG04,BAT032,2025-01-12,1678,0.61
REG04,BAT035,2025-01-13,2230,0.13
REG04,BAT008,2025-01-13,365,0.8
REG04,BAT007,2025-01-13,1032,0.7
REG04,BAT013,2025-01-13,1644,0.27
REG04,BAT008,2025-01-14,1381,0.76
REG04,BAT032,2025-01-14,1670,0.46
REG04,BAT018,2025-01-15,668,0.6
REG04,BAT008,2025-01-15,2787,
REG04,BAT039,16-01-2025,959,0.31
REG04,BAT038,2025-01-17,1342,0.74
REG04,BAT018,2025-01-17,1405,0.42
REG04,BAT008,2025-01-17,978,0.41
REG04,BAT024,2025-01-18,1852,0.46
REG04,BAT035,2025-01-18,2393,0.51
REG04,BAT024,2025-01-18,1234,0.86
REG04,BAT024,2025-01-19,,0.64
REG04,BAT008,"Jan 19, 2025",1023,0.31
REG04,BAT008,2025-01-19,457,0.43
REG04,BAT008,2025-01-19,1392,0.54
REG04,BAT024,2025-01-19,435,0.13
REG04,BAT035,2025-01-19,2712,0.73
REG04,BAT024,2025-01-19,2687,0.48
REG04,BAT008,2025-01-20,1803,0.44
REG04,BAT032,2025-01-21,2799,0.84
REG04,BAT038,2025-01-21,882,0.78
REG04,BAT025,2025-01-22,2363,0.14
REG04,BAT035,2025-01-22,720,0.31
REG04,BAT019,2025-01-22,2169,0.78
REG04,BAT035,2025-01-22,2375,0.46
REG04,BAT025,2025-01-22,2412,0.55
REG04,BAT035,2025-01-22,,0.57
